  ______Radius______         _______Area 1________      _______Area 2________               _______Ratio________            _______Difference________
 1.000000000000000000e+01   3.141592653589793258e+02   3.141592653589999600e+02           9.999999999999342748e-01           2.063416104647330940e-11           
 9.000000000000000000e+00   2.544690049407732317e+02   2.544690049407900005e+02           9.999999999999340528e-01           1.676880856393836439e-11           
 8.000000000000000000e+00   2.010619298297467594e+02   2.010619298297600039e+02           9.999999999999341638e-01           1.324451659456826746e-11           
 7.000000000000000000e+00   1.539380400258998520e+02   1.539380400259099986e+02           9.999999999999340528e-01           1.014655026665423065e-11           
 6.000000000000000000e+00   1.130973355292325522e+02   1.130973355292400129e+02           9.999999999999340528e-01           7.460698725481051952e-12           
 5.000000000000000000e+00   7.853981633974483145e+01   7.853981633974998999e+01           9.999999999999342748e-01           5.158540261618327349e-12           
 4.000000000000000000e+00   5.026548245743668986e+01   5.026548245744000099e+01           9.999999999999341638e-01           3.311129148642066866e-12           
 3.000000000000000000e+00   2.827433388230813804e+01   2.827433388231000322e+01           9.999999999999340528e-01           1.865174681370262988e-12           
 2.000000000000000000e+00   1.256637061435917246e+01   1.256637061436000025e+01           9.999999999999341638e-01           8.277822871605167165e-13           
 1.000000000000000000e+00   3.141592653589793116e+00   3.141592653590000062e+00           9.999999999999341638e-01           2.069455717901291791e-13           
 0.000000000000000000e+00   0.000000000000000000e+00   0.000000000000000000e+00           9.999999999999341638e-01           0.000000000000000000e+00           
-1.000000000000000000e+00      negative radius              negative radius                    negative radius                 negative radius              
-2.000000000000000000e+00      negative radius              negative radius                    negative radius                 negative radius              
-3.000000000000000000e+00      negative radius              negative radius                    negative radius                 negative radius              
-4.000000000000000000e+00      negative radius              negative radius                    negative radius                 negative radius              
-5.000000000000000000e+00      negative radius              negative radius                    negative radius                 negative radius              
